
date,Tmean_C,Rs_MJ_m2_d
2021-02-01,21.58444018495319,14.388600305364985
2021-02-02,23.065185360714533,17.14086192294477
2021-02-03,22.06459404703763,15.423211793969362
2021-02-04,21.54946032867238,16.029543323890703
2021-02-05,20.47052771411625,13.061464922356318
2021-02-06,22.44845760629324,16.295231684209735
2021-02-07,20.594526180237963,16.265316902701073
2021-02-08,24.63677970696051,16.291443583123687
2021-02-09,25.276598568459164,18.056239623978968
2021-02-10,20.112629517549422,16.64182961515881
2021-02-11,23.746352838935714,14.901342663098445
2021-02-12,21.407164785800852,15.319972550516443
2021-02-13,21.755596593735998,16.72720845800723
2021-02-14,24.937810080804685,13.285217546798057
2021-02-15,17.332220917961195,16.560540263406608
2021-02-16,17.475450767343712,16.581444495938058
2021-02-17,16.8799437372189,14.096065829798741
2021-02-18,24.110316625376647,13.656202007336208
2021-02-19,23.62559508345367,14.663313094990594
2021-02-20,24.44310811939669,14.924038163090163
2021-02-21,25.4097032458716,16.03906256025655
2021-02-22,23.81251122152884,15.32844817269653
2021-02-23,20.807166324051096,18.29721872551982
2021-02-24,23.646709668949455,13.511041978039351
2021-02-25,17.752642390233504,14.087934482912107
2021-02-26,22.395297089814964,13.831071396578979
2021-02-27,17.975844257940512,16.48678495751315
2021-02-28,25.107553361741296,14.327774653714824
2021-03-01,21.34445006357564,15.478078173424054
2021-03-02,20.39049126591566,14.279898196808656
