
date,P_mm,PET_mm
2021-01-01,8.459086352499746,3.0
2021-01-02,12.176727948929326,3.0
2021-01-03,7.186077901535688,3.0
2021-01-04,6.225352112505503,3.0
2021-01-05,13.396276647774503,3.0
2021-01-06,6.766867705452535,3.0
2021-01-07,9.730025394870239,3.0
2021-01-08,8.947430491468708,3.0
2021-01-09,13.387067958119607,3.0
2021-01-10,5.1961025232635265,3.0
2021-01-11,16.977919270831777,3.0
2021-01-12,3.8629914159944256,3.0
2021-01-13,10.263265305458333,3.0
2021-01-14,9.291509852450453,3.0
2021-01-15,3.4448616580242835,3.0
2021-01-16,10.975373726355507,3.0
2021-01-17,5.619233470813439,3.0
2021-01-18,2.0638846652673184,3.0
2021-01-19,12.110626752789555,3.0
2021-01-20,0.8290182914158364,3.0
2021-01-21,2.7333776153055336,3.0
2021-01-22,7.109457518286307,3.0
2021-01-23,13.318953099805741,3.0
2021-01-24,11.528795072230803,3.0
2021-01-25,8.342374416605322,3.0
2021-01-26,0.0224586056549958,3.0
2021-01-27,3.6509134076526415,3.0
2021-01-28,4.680482020805796,3.0
2021-01-29,1.9007499084067083,3.0
2021-01-30,0.0,3.0
